,LinearDiscriminantAnalysis + MiniBatchKMeans,NuSVC + MiniBatchKMeans,KNeighborsClassifier + MiniBatchKMeans,LinearDiscriminantAnalysis + Birch,NuSVC + Birch,KNeighborsClassifier + Birch
0,0.375,0.5625,0.5625,0.4375,0.3125,0.375
1,0.6875,0.625,0.75,0.5625,0.5625,0.5625
2,0.3125,0.5625,0.625,0.375,0.4375,0.6875
3,0.5625,0.8125,0.5625,0.6875,0.75,0.625
4,0.375,0.5625,0.5,0.4375,0.5625,0.4375
5,0.5625,0.75,0.5625,0.3125,0.5,0.5
6,0.4375,0.3125,0.25,0.25,0.1875,0.25
7,0.4375,0.4375,0.375,0.25,0.375,0.375
8,0.375,0.6875,0.5,0.4375,0.5,0.4375
9,0.4666666666666667,0.5333333333333333,0.3333333333333333,0.3333333333333333,0.7333333333333333,0.5333333333333333
