,LinearDiscriminantAnalysis Acc,NuSVC Acc,KNeighborsClassifier Acc,LinearDiscriminantAnalysis Loss,NuSVC Loss,KNeighborsClassifier Loss
0,0.8125,0.75,0.6875,0.7502245777536062,0.6354855992189087,0.75177712729004
1,0.6875,0.625,0.6875,1.0624740377290007,0.8407040058807946,0.8714019307421532
2,0.5625,0.625,0.5,2.5328935986987764,1.0743756197536027,2.9831475775848117
3,0.625,0.5625,0.3125,1.565248090339646,0.9898611676547209,3.1126146633367284
4,0.625,0.625,0.5625,1.856915145401642,0.7778126371710307,0.8368534225130257
5,0.5,0.625,0.5625,2.8026762154662297,1.1487069385298265,5.12510364194584
6,0.375,0.8125,0.5625,2.827175816089018,0.6345639353439765,0.7601228393290724
7,0.375,0.4375,0.5625,3.333133113638821,0.9497179852041976,0.8564006543882692
8,0.8125,0.625,0.6875,1.2071143647848457,0.8060816087534116,0.7388149276434104
9,0.6,0.6666666666666666,0.3333333333333333,1.995094334565177,0.7817514323080272,3.308498748416192
